citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
86 FR 27025, 2021-10691,27026,https://www.federalregister.gov/documents/2021/05/19/2021-10691/revocation-of-certain-presidential-actions-and-technical-amendment,https://www.govinfo.gov/content/pkg/FR-2021-05-19/pdf/2021-10691.pdf,Presidential Document,Executive Order,05/19/2021,2021-05-14,27025,Revocation of Certain Presidential Actions and Technical Amendment,"Revokes: EO 13925, May 28, 2020; EO 13933, June 26, 2020; EO 13934, July 3, 2020; EO 13964, December 10, 2020; EO 13978, January 18, 2021; EO 13980, January 18, 2021 
See: EO 14003, January 22, 2021; EO 13957, October 21, 2020",14029,""
86 FR 26633, 2021-10460,26647,https://www.federalregister.gov/documents/2021/05/17/2021-10460/improving-the-nations-cybersecurity,https://www.govinfo.gov/content/pkg/FR-2021-05-17/pdf/2021-10460.pdf,Presidential Document,Executive Order,05/17/2021,2021-05-12,26633,Improving the Nation's Cybersecurity,"",14028,""
86 FR 25947, 2021-10139,25948,https://www.federalregister.gov/documents/2021/05/12/2021-10139/establishment-of-the-climate-change-support-office,https://www.govinfo.gov/content/pkg/FR-2021-05-12/pdf/2021-10139.pdf,Presidential Document,Executive Order,05/12/2021,2021-05-07,25947,Establishment of the Climate Change Support Office,"See: EO 14008, January 27, 2021",14027,""
86 FR 22835, 2021-09263,22838,https://www.federalregister.gov/documents/2021/04/30/2021-09263/increasing-the-minimum-wage-for-federal-contractors,https://www.govinfo.gov/content/pkg/FR-2021-04-30/pdf/2021-09263.pdf,Presidential Document,Executive Order,04/30/2021,2021-04-27,22835,Increasing the Minimum Wage for Federal Contractors,"Revokes: EO 13838, May 25, 2018 
Supersedes: EO 13658, February 12, 2014",14026,""
86 FR 22829, 2021-09213,22832,https://www.federalregister.gov/documents/2021/04/29/2021-09213/worker-organizing-and-empowerment,https://www.govinfo.gov/content/pkg/FR-2021-04-29/pdf/2021-09213.pdf,Presidential Document,Executive Order,04/29/2021,2021-04-26,22829,Worker Organizing and Empowerment,"Revokes: EO 13845, July 19, 2018; EO 13931, June 26, 2020",14025,""
86 FR 20249, 2021-08098,20252,https://www.federalregister.gov/documents/2021/04/19/2021-08098/blocking-property-with-respect-to-specified-harmful-foreign-activities-of-the-government-of-the,https://www.govinfo.gov/content/pkg/FR-2021-04-19/pdf/2021-08098.pdf,Presidential Document,Executive Order,04/19/2021,2021-04-15,20249,Blocking Property With Respect To Specified Harmful Foreign Activities of the Government of the Russian Federation,"Amended by: EO 14114, December 12, 2023",14024,""
86 FR 19569, 2021-07756,19570,https://www.federalregister.gov/documents/2021/04/14/2021-07756/establishment-of-the-presidential-commission-on-the-supreme-court-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2021-04-14/pdf/2021-07756.pdf,Presidential Document,Executive Order,04/14/2021,2021-04-09,19569,Establishment of the Presidential Commission on the Supreme Court of the United States,"",14023,""
86 FR 17895, 2021-07239,17896,https://www.federalregister.gov/documents/2021/04/07/2021-07239/termination-of-emergency-with-respect-to-the-international-criminal-court,https://www.govinfo.gov/content/pkg/FR-2021-04-07/pdf/2021-07239.pdf,Presidential Document,Executive Order,04/07/2021,2021-04-01,17895,Termination of Emergency With Respect to the International Criminal Court,"Revokes: EO 13928, June 11, 2020",14022,""
86 FR 13803, 2021-05200,13804,https://www.federalregister.gov/documents/2021/03/11/2021-05200/guaranteeing-an-educational-environment-free-from-discrimination-on-the-basis-of-sex-including,https://www.govinfo.gov/content/pkg/FR-2021-03-11/pdf/2021-05200.pdf,Presidential Document,Executive Order,03/11/2021,2021-03-08,13803,"Guaranteeing an Educational Environment Free From Discrimination on the Basis of Sex, Including Sexual Orientation or Gender Identity","",14021,""
86 FR 13797, 2021-05183,13801,https://www.federalregister.gov/documents/2021/03/11/2021-05183/establishment-of-the-white-house-gender-policy-council,https://www.govinfo.gov/content/pkg/FR-2021-03-11/pdf/2021-05183.pdf,Presidential Document,Executive Order,03/11/2021,2021-03-08,13797,Establishment of the White House Gender Policy Council,"See: EO 12250, November 2, 1980; EO 13995, January 21, 2021; EO 14091, February 16, 2023; EO 14121, March 27, 2024",14020,""
86 FR 13623, 2021-05087,13627,https://www.federalregister.gov/documents/2021/03/10/2021-05087/promoting-access-to-voting,https://www.govinfo.gov/content/pkg/FR-2021-03-10/pdf/2021-05087.pdf,Presidential Document,Executive Order,03/10/2021,2021-03-07,13623,Promoting Access to Voting,"Partially supersedes: EO 12926, September 12, 1994",14019,""
86 FR 11849, 2021-04280,11854,https://www.federalregister.gov/documents/2021/03/01/2021-04280/americas-supply-chains,https://www.govinfo.gov/content/pkg/FR-2021-03-01/pdf/2021-04280.pdf,Presidential Document,Executive Order,03/01/2021,2021-02-24,11849,America's Supply Chains,"See: EO 13806, July 21, 2017; EO 13953, September 30, 2020; EO 14001, January 21, 2021",14017,""
86 FR 11855, 2021-04281,11856,https://www.federalregister.gov/documents/2021/03/01/2021-04281/revocation-of-certain-presidential-actions,https://www.govinfo.gov/content/pkg/FR-2021-03-01/pdf/2021-04281.pdf,Presidential Document,Executive Order,03/01/2021,2021-02-24,11855,Revocation of Certain Presidential Actions,"Revokes: EO 13772, February 3, 2017; EO 13828, April 10, 2018; Memorandum of January 29, 2020; EO 13924, May 19, 2020; Memorandum of September 2, 2020; EO 13967, December 18, 2020; EO 13979, January 18, 2021",14018,""
86 FR 11089, 2021-03874,11090,https://www.federalregister.gov/documents/2021/02/23/2021-03874/revocation-of-executive-order-13801,https://www.govinfo.gov/content/pkg/FR-2021-02-23/pdf/2021-03874.pdf,Presidential Document,Executive Order,02/23/2021,2021-02-17,11089,Revocation of Executive Order 13801,"Revokes: EO 13801, June 15, 2017",14016,""
86 FR 10007, 2021-03424,10009,https://www.federalregister.gov/documents/2021/02/18/2021-03424/establishment-of-the-white-house-office-of-faith--based-and-neighborhood-partnerships,https://www.govinfo.gov/content/pkg/FR-2021-02-18/pdf/2021-03424.pdf,Presidential Document,Executive Order,02/18/2021,2021-02-14,10007,Establishment of the White House Office of Faith- Based and Neighborhood Partnerships,"Amends: EO 13198, January 29, 2001; EO 13279, December 12, 2002;  EO 13280, December 12, 2002, EO 13342, June 1, 2004; EO 13397, March 7, 2006; Revokes: EO 13831, May 3, 2018",14015,""
86 FR 9429, 2021-03139,9432,https://www.federalregister.gov/documents/2021/02/12/2021-03139/blocking-property-with-respect-to-the-situation-in-burma,https://www.govinfo.gov/content/pkg/FR-2021-02-12/pdf/2021-03139.pdf,Presidential Document,Executive Order,02/12/2021,2021-02-10,9429,Blocking Property With Respect to the Situation in Burma,"See: EO 13742, October 7, 2016",14014,""
86 FR 8839, 2021-02804,8844,https://www.federalregister.gov/documents/2021/02/09/2021-02804/rebuilding-and-enhancing-programs-to-resettle-refugees-and-planning-for-the-impact-of-climate-change,https://www.govinfo.gov/content/pkg/FR-2021-02-09/pdf/2021-02804.pdf,Presidential Document,Executive Order,02/09/2021,2021-02-04,8839,Rebuilding and Enhancing Programs To Resettle Refugees and Planning for the Impact of Climate Change on Migration,"Revokes: EO 13815, October 24, 2017; EO 13888, September 26, 2019",14013,""
86 FR 8267, 2021-02561,8271,https://www.federalregister.gov/documents/2021/02/05/2021-02561/creating-a-comprehensive-regional-framework-to-address-the-causes-of-migration-to-manage-migration,https://www.govinfo.gov/content/pkg/FR-2021-02-05/pdf/2021-02561.pdf,Presidential Document,Executive Order,02/05/2021,2021-02-02,8267,"Creating a Comprehensive Regional Framework To Address the Causes of Migration, To Manage Migration Throughout North and Central America, and To Provide Safe and Orderly Processing of Asylum Seekers at the United States Border","Revokes: EO 13767, January 25, 2017",14010,""
86 FR 8273, 2021-02562,8275,https://www.federalregister.gov/documents/2021/02/05/2021-02562/establishment-of-interagency-task-force-on-the-reunification-of-families,https://www.govinfo.gov/content/pkg/FR-2021-02-05/pdf/2021-02562.pdf,Presidential Document,Executive Order,02/05/2021,2021-02-02,8273,Establishment of Interagency Task Force on the Reunification of Families,"Revokes: EO 13841, June 20, 2018",14011,""
86 FR 8277, 2021-02563,8280,https://www.federalregister.gov/documents/2021/02/05/2021-02563/restoring-faith-in-our-legal-immigration-systems-and-strengthening-integration-and-inclusion-efforts,https://www.govinfo.gov/content/pkg/FR-2021-02-05/pdf/2021-02563.pdf,Presidential Document,Executive Order,02/05/2021,2021-02-02,8277,Restoring Faith in Our Legal Immigration Systems and Strengthening Integration and Inclusion Efforts for New Americans,"",14012,""
