citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,proclamation_number
86 FR 60545, 2021-24121,60546,https://www.federalregister.gov/documents/2021/11/03/2021-24121/national-native-american-heritage-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24121.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60545,"National Native American Heritage Month, 2021","",10302
86 FR 60547, 2021-24122,60548,https://www.federalregister.gov/documents/2021/11/03/2021-24122/national-veterans-and-military-families-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24122.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60547,"National Veterans and Military Families Month, 2021","",10303
86 FR 62893, 2021-24959,62894,https://www.federalregister.gov/documents/2021/11/15/2021-24959/world-freedom-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-15/pdf/2021-24959.pdf,Presidential Document,Proclamation,11/15/2021,2021-11-08,62893,"World Freedom Day, 2021","",10304
86 FR 63303, 2021-25036,63305,https://www.federalregister.gov/documents/2021/11/15/2021-25036/veterans-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-15/pdf/2021-25036.pdf,Presidential Document,Proclamation,11/15/2021,2021-11-09,63303,"Veterans Day, 2021","",10305
86 FR 64057, 2021-25190,64058,https://www.federalregister.gov/documents/2021/11/17/2021-25190/american-education-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-17/pdf/2021-25190.pdf,Presidential Document,Proclamation,11/17/2021,2021-11-12,64057,"American Education Week, 2021","",10306
86 FR 64059, 2021-25191,64060,https://www.federalregister.gov/documents/2021/11/17/2021-25191/national-apprenticeship-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-17/pdf/2021-25191.pdf,Presidential Document,Proclamation,11/17/2021,2021-11-12,64059,"National Apprenticeship Week, 2021","",10307
86 FR 64061, 2021-25192,64062,https://www.federalregister.gov/documents/2021/11/17/2021-25192/america-recycles-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-17/pdf/2021-25192.pdf,Presidential Document,Proclamation,11/17/2021,2021-11-12,64061,"America Recycles Day, 2021","",10308
86 FR 64797, 2021-25418,64800,https://www.federalregister.gov/documents/2021/11/19/2021-25418/suspension-of-entry-as-immigrants-and-nonimmigrants-of-persons-responsible-for-policies-or-actions,https://www.govinfo.gov/content/pkg/FR-2021-11-19/pdf/2021-25418.pdf,Presidential Document,Proclamation,11/19/2021,2021-11-16,64797,Suspension of Entry as Immigrants and Nonimmigrants of Persons Responsible for Policies or Actions That Threaten Democracy in Nicaragua,"",10309
86 FR 66151, 2021-25602,66152,https://www.federalregister.gov/documents/2021/11/22/2021-25602/antibiotic-awareness-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-22/pdf/2021-25602.pdf,Presidential Document,Proclamation,11/22/2021,2021-11-17,66151,"Antibiotic Awareness Week, 2021","",10310
86 FR 66153, 2021-25603,66154,https://www.federalregister.gov/documents/2021/11/22/2021-25603/national-rural-health-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-22/pdf/2021-25603.pdf,Presidential Document,Proclamation,11/22/2021,2021-11-17,66153,"National Rural Health Day, 2021","",10311
86 FR 66915, 2021-25799,66916,https://www.federalregister.gov/documents/2021/11/24/2021-25799/national-childs-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-24/pdf/2021-25799.pdf,Presidential Document,Proclamation,11/24/2021,2021-11-19,66915,"National Child's Day, 2021","",10312
86 FR 66917, 2021-25800,66918,https://www.federalregister.gov/documents/2021/11/24/2021-25800/national-family-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-24/pdf/2021-25800.pdf,Presidential Document,Proclamation,11/24/2021,2021-11-19,66917,"National Family Week, 2021","",10313
